reputation,Id,displayname,location
1376,4674760,Kingsley Mitchell,"Melbourne, Victoria, Australia"
1,8433558,AppleSud,"Melbourne, Victoria, Australia"
1,6504401,AFallingPiano,"Melbourne, FL, United States"
1,2591392,Danny,"Melbourne, Florida"
11504,29489,number5,"Melbourne, Australia"
914,29799,LyphTEC,"Melbourne, Australia"
662,29820,Michael Galos,"Melbourne, Australia"
134,30485,Light,"Melbourne, FL"
46889,30674,Pure.Krome,"Melbourne, Victoria, Australia"
1158,31027,Tass,"Melbourne, Australia"
2151,31440,Tom Clift,"Melbourne, Australia"
1,8440024,cocktailsanddreams,"Melbourne, Victoria, Australia"
1,10329999,Dr.Christopher N Hart,"Melbourne VIC 3000, Australia"
503,46264,navitronic,"Melbourne, Australia"
1148,48256,mparaz,"Melbourne, Australia"
2814,59661,Lessan Vaezi,"Melbourne, Australia"
28798,60075,Craig McQueen,"Melbourne, Australia"
570,61309,luke_f,"Melbourne, Australia"
1564,62037,Craig Bovis,"Melbourne, Victoria, Australia"
13002,62194,Art,"Melbourne, Australia"
950,62457,Martin Fido,"Melbourne, Australia"
141,76415,Bob Blanchett,"Melbourne, Australia"
1,10339393,Danny Huynh,"Melbourne VIC, Australia"
1,8456861,S Mi,"Melbourne, Victoria, Australia"
355,89994,Jon Rhoades,"Melbourne, Australia"
11657,90165,Mugunth,"Melbourne, Victoria, Australia"
76,2612520,ArkadePaulG,"Melbourne, Australia"
1,2612759,Paul,"Melbourne, Australia"
36,2612906,Andrew Artajos,"Melbourne, Australia"
1,2613234,Matthew K,"Melbourne, Australia"
1,8462215,Vandana Loke,"Melbourne, Victoria, Australia"
5591,90927,NickZoic,"Melbourne, Australia"
61,90954,Adam Craig Johnston,"Melbourne, Australia"
58,91388,Whitey,"Melbourne, Australia"
2231,92129,SoulieBaby,"Melbourne, Australia"
64,106175,zac spitzer,"Melbourne, Australia"
2976,106732,Jon McAuliffe,"Melbourne, Australia"
1977,106852,Drew,"Melbourne, Australia"
1163,107512,Daniel Chambers,"Melbourne, Australia"
1800,108302,Adam M-W,"Melbourne, Australia"
